Marca temporal,¿En qué campo trabajas/estudias?,¿Cuál es tu opinión general sobre los cursos online?,¿Has hecho algún curso online?,"Si has respondido no, ¿por qué no has hecho un curso online?",¿Sobre qué tema trataba el último curso que has hecho?,¿Te gustó?,¿Cuánto te costó?,¿Consideras que el curso tenía una buena relación calidad/precio?,"Tras tu última experiencia, ¿volverías a tomar un curso online?",Comenta cualquier cosa que pienses sobre los cursos online
9/12/2023 11:50:17,Ciencias de la salud,Neutra,No,Falta de tiempo,,,,,,"Siento que hay un mercado bastante amplio de cursos, de casi cualquier ámbito que puedas imaginar. Hay varias páginas que conozco que los ofertan (coursera, udemy, domestika, skillshare...) y de vez en cuando echo un vistazo y veo que hay cosas muy interesantes. Espero que estas páginas paguen una cantidad razonable a los creadores de sus cursos, aunque nunca he intentado averiguar qué porcentaje es el que se llevan, pero sería algo importante para mí a la hora de elegir la plataforma. Debido a mis estudios (medicina) no he sido capaz de encontrar tiempo para hacer ninguno, pero me encantaría hacerlos algún día, especialmente los relacionados con actividades manuales (maquillaje, cocina, coser...). "
9/12/2023 11:53:54,Software,Buena,Sí,,Datos,Sí,40 euros o más,"No, era muy caro",Sí,
9/12/2023 11:56:55,Software,Neutra,Sí,,Web,Sí,Gratis,"Sí, tenía un precio justo o barato",Sí,
9/12/2023 12:02:49,Ingeniería,Muy buena,Sí,,Simulaciones CFD y FEM ,Sí,Gratis,"Sí, tenía un precio justo o barato",Sí,Dan una gran cantidad de opciones de aprender cosas nuevas y en muchos casos más útiles (más aplicadas) que las que se enseñan en las universidades normalmente. También hay gran cantidad de cursos online que son gratuitos o tienen una versión gratuita con algunos precios para obtener los certificados que son bastante asequibles o con la opción de pedir becas para ello.
9/12/2023 12:10:34,Software,Neutra,No,Falta de tiempo,,,,,,"Aunque no haya hecho ninguno, tengo varios pendientes. Es una pena que no los haya hecho aun, podría haber sido más útil mi experiencia."
9/12/2023 12:14:14,Ciencias sociales,Buena,Sí,,Negocios/Finanzas,Sí,Gratis,"Sí, tenía un precio justo o barato",Sí,
9/12/2023 12:15:49,Ciencias sociales,Buena,Sí,,Deporte,Sí,40 euros o más,"Sí, tenía un precio justo o barato",Sí,
9/12/2023 12:16:52,Ciencias de la salud,Neutra,No,No me interesa,,,,,,
9/12/2023 12:19:31,Ciencias de la salud,Buena,No,Falta de tiempo,,,,,,
9/12/2023 12:22:10,Data,Neutra,Sí,,Datos,Más o menos,Gratis,"Sí, tenía un precio justo o barato",Tal vez,
9/12/2023 12:32:49,Data,Buena,Sí,,Datos,Sí,40 euros o más,"Sí, tenía un precio justo o barato",Sí,
9/12/2023 12:35:30,Cajera,Buena,Sí,,Medio ambiente,Sí,Gratis,"Sí, tenía un precio justo o barato",Tal vez,Sino tienes buena conexión puede resultar un problema.
9/12/2023 12:36:09,Data,Buena,Sí,,Datos,Sí,Gratis,"Sí, tenía un precio justo o barato",Sí,
9/12/2023 12:37:40,Ciencias de la salud,Neutra,Sí,,Ciencias de la salud,Más o menos,Gratis,"Sí, tenía un precio justo o barato",Tal vez,
9/12/2023 12:43:09,Comercio,Neutra,Sí,,Crecimiento personal,Sí,Gratis,,Sí,
9/12/2023 12:49:54,Ciencias de la salud,Buena,Sí,,Datos,Sí,40 euros o más,"Sí, tenía un precio justo o barato",Sí,"Sobre Cursos online: La parte interesante es la del aprendizaje. Puede ser gratuito y si lo quieres con diploma, ya puede costar algún precio. Los más interesantes que he probado, son aquellos que provienen de universidades acreditadas. "
9/12/2023 13:05:16,Ciencias de la salud,Buena,Sí,,"Higiene, desinfección y limpieza en cocina ",Sí,"Entre 10 y 19,99 euros","No, era muy caro",Tal vez,"Son flexibles con tu horario de trabajo por lo que puedes realizarlos en el momento del día que te venga bien, pero en ocasiones, si se tienen dudas aunque las plantees al ""profe"" mediante correo, puede que no obtengas respuesta, a diferencia de si se tuvieran tutorias con el profesor o pudieras dirigirte a él físicamente. "
9/12/2023 13:33:13,Ingeniería,Buena,Sí,,Datos,Más o menos,40 euros o más,"No, era muy caro",Tal vez,Depende mucho de la calidad y aprovechamiento 
9/12/2023 13:43:37,Ingeniería,Buena,Sí,,Ciencia de Datos,,40 euros o más,"Sí, tenía un precio justo o barato",Sí,
9/12/2023 13:53:01,Data,Buena,Sí,,Datos,Sí,40 euros o más,"Sí, tenía un precio justo o barato",Sí,Mientras provea algún tipo de certificación muy bien y si es habilitante aun mejor 
9/12/2023 13:58:49,Data,Muy buena,Sí,,Datos,Sí,Gratis,,Sí,Son una excelente opción de formación continua
9/12/2023 14:15:25,Trabajo,Buena,Sí,,,Sí,Gratis,,Tal vez,Son interesantes y productivos
9/12/2023 14:51:45,Cocina y gastronomía ,Buena,Sí,,Prevención riesgos laborales,Más o menos,"Entre 10 y 19,99 euros","Sí, tenía un precio justo o barato",Sí,
9/12/2023 15:32:21,Almacén y distribución,Buena,Sí,,Datos,Sí,"Entre 20 y 29,99 euros","Sí, tenía un precio justo o barato",Sí,
9/12/2023 19:04:34,Ciencias de la salud,Buena,No,Falta de tiempo,,,,,,
9/12/2023 21:44:29,Casa,Muy buena,Sí,,Datos,Más o menos,Gratis,,Sí,Son muy cómodos ya que utilizas el tiempo que tienes libre.
10/12/2023 10:33:28,Ciberseguridad ,Buena,Sí,,Ciberseguridad,Sí,40 euros o más,"Sí, tenía un precio justo o barato",Sí,
10/12/2023 21:07:14,Ciberseguridad,Buena,Sí,,Web,Sí,Gratis,"Sí, tenía un precio justo o barato",Sí,
